Feature.ID	Confidence.y	Kingdom	Phylum	Class	Order	Family	Genus	Species
625ec1df57a5530185be410f879f072c	0.9776763244482052	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Erwinia	s__soli
a6a6501045130d88e45ffd67aa1de26c	0.9999999665931659	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	s__
09c236e4f3e2dffab6c0cc5d2d8fe5fb	0.9999999750916405	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter	s__psychrolactophilus
0ff18689b07be121d4269404efa8e827	0.9999898978864383	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
c28fa47f63261e3d59b1fc9e05671360	0.999999999999801	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__TG5	s__
d3a5f9ab21728bc940f682afac1adaa8	0.9745095431102172	k__Bacteria	p__TM7	c__TM7-3	o__EW055	f__	g__	s__
2e95557b1284e4855a1beb68668822c2	0.9935128172638938	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__[Roseiflexales]	f__[Roseiflexaceae]	g__	s__
129d953cf57c2136c8274e3d9b2d81d1	0.9747324450065377	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
611d5bf317a1a42dc1fdfd2e42787bd7	0.9996018363826475	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
d86793f4a908b6a09fe1dd87bbd348fa	0.8260663427209662	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Shinella	s__
c45c6fce17ebce07192bb414a5fb14cf	0.9606162042497843	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
45ab901907bc7ff520c6234a1418e2b6	0.9999900567722566	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	s__
70374c3d3fd851d849d8b0bce25f5928	0.9999500678152463	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	NA	NA
0402653dbf350c277c7c80d1a6e46b95	0.8807451836348906	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Brucellaceae	g__Ochrobactrum	s__
948d13a9dd81b3461b32da9ff3106066	0.8225378491841239	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
797d3aa78e9ea74634fb6a63d316d032	0.9999999952104304	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__durum
70b430210e8a26528749c5ea57f88ca7	0.9999744569225921	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	NA	NA
d1e978f713d39d325f04656fd6f6baf9	0.9922223065656033	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__
eec703a79a7b68abfc376ed7874859f7	0.9997979340689938	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__andropogonis
2ee619869fb3557d89b89e044b141c9d	0.849852971051143	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	NA
c46e5594d2dcaf9bdc12446e37d65d04	0.9543392818380266	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__simulans
13b47968ed266e0b74655cb85348fc3f	0.9999797659215134	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__
e033e7f3dd8556b11053d4b07725d1f4	0.8037596173328345	k__Bacteria	p__Firmicutes	c__Bacilli	NA	NA	NA	NA
c97410478808adaea964ee59ab911778	0.9888743655242193	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__	s__
51e7a53f3faabc22dc431eaeb8849592	0.9999996678305917	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__
93ac4efd7a45208888a53ab69a0c5478	0.9999996965267889	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__
b3abcd5b7b973a9acb3b490d52b0c7d0	0.9999999479647683	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__
1402470d30754402893ab2a9aefe61e8	0.9999685469722462	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Janibacter	s__
d45d23ccb8b3accd4c3c7f5a3574daea	0.9987366618315253	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Paludibacter	s__
ad80bc5d07d9118c9c3abdf499ce8775	0.9999999714864889	k__Bacteria	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__
8ead37bc07f50abd5c252f008ed90d95	0.9779903800704822	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__
7699b2d4a9a06fa73ff07a70d3035f61	0.999998263299476	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__	s__
2fba0a73abbebe4b41eeb5e2e690efad	0.9999999999986642	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__RF16	g__	s__
88f02137513e8f6d9cf981d43311fc48	0.9999999997180851	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Anaerococcus	s__
a45155c3ebe2580343ada18357d1df7a	0.7566043741563514	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
4401321f34c316c0954c922336275267	0.9999939766694494	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Streptobacillus	NA
e0ad9bf1c3ae49588a81dad1cfdf8461	0.9472862997475875	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__SMB53	s__
70d8f57b78e6697cb998b853095fe695	0.8593966199794424	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__	s__
46c5623c98b216351751536b3a8b8403	0.9966505966850387	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
024461e8cf3248450c44ea4f1e086162	0.9999670633915735	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__prausnitzii
463612b241abb08a2faed88d43d12e3e	0.9999852763750926	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
e0b27a2de0a130cf2d23cb31fcb0831b	0.9991837148786957	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__
101c4cf60320d0d98e38b3fb1be3cb02	0.9986452517608806	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__
d464839c79991c2d179f58ba93f130d2	0.9999999995159925	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__
4634120d55732b7ccf643125537c281f	0.9985938408778253	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
bd900aa149955267518542b8a45da299	0.9949582499089755	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Sanguibacteraceae	g__Sanguibacter	s__
